Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:48:31] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:31] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:31] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:31] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:49:30] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:50:30] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:50:38] "GET /assets/assets/images/portal_energy_vortex.webp HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:30] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:47] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:47] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:47] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:48] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:48] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:48] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:48] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:48] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:48] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:49] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:49] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:49] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:49] "GET /assets/FontManifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:49] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:49] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:50] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:51:50] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:50] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:50] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:50] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:50] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:51:51] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:52:32] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:33] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:33] "GET /sw.js HTTP/1.1" 304 -
