Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:17] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:17] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:18] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:18] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:18] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:18] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:18] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:18] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:20] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:16] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:40] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:40] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:40] "GET /flutter_bootstrap.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:40] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:40] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:40] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:41] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:41] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:41] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:41] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:41] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:42] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:42] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:42] "GET /assets/FontManifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:42] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:42] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:43] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:13:43] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:43] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:43] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:43] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:43] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:13:45] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:14:42] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:28] "GET /assets/AssetManifest.bin.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:29] "GET /assets/assets/images/portal_energy_vortex.webp HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:30] "GET /assets/assets/videos/transition_energie_to_materie.mp4 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:41] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:47] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:49] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:49] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:49] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:49] "GET /flutter.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:50] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:50] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:50] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:50] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:51] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:15:52] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:52] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:52] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:52] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:52] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:15:53] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:16] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:16] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:16] "GET /flutter_bootstrap.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:17] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:17] "GET /favicon.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:17] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:18] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:18] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:18] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:18] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:20] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:16:20] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:20] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:20] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:20] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:16:20] "GET /assets/FontManifest.json HTTP/1.1" 200 -
